Product,Region,Price,Quantity
Tablet,Asia,809.7043255889654,7
Laptop,Asia,633.8099767177924,4
Tablet,North America,854.0913651559678,4
Tablet,Asia,789.9523781101726,6
Laptop,Europe,752.2103906267181,6
Laptop,Europe,618.4872675916804,3
Tablet,Europe,684.6457338863335,9
Phone,North America,951.0782451651512,2
Tablet,Asia,900.1834375248761,6
Tablet,Europe,604.4889510402897,7
Tablet,North America,819.8664610858452,9
Tablet,Asia,950.2774246743578,3
Laptop,North America,466.11894377572565,3
Tablet,Europe,908.672038475987,7
Phone,Europe,667.4752482108306,4
Laptop,Europe,914.1197337186319,8
Phone,North America,647.3481686914967,7
Phone,North America,439.0235798670962,5
Phone,Europe,474.49151242336745,7
Phone,North America,809.6169893322764,3
Laptop,Europe,851.9445003442963,2
Laptop,Europe,619.1366749791183,6
Phone,Asia,927.7184917554748,2
Phone,North America,467.695987546208,3
Laptop,Europe,786.7840402705367,6
Laptop,Europe,557.7967600475087,5
Laptop,North America,669.6327784395681,8
Tablet,Asia,809.4797342632828,9
Tablet,Asia,627.9173269432096,3
Tablet,Europe,723.088891154035,3
Phone,North America,1001.2585618428881,3
Tablet,Asia,684.6216260953703,6
Phone,North America,967.1384224130284,1
Phone,North America,574.0586290684764,7
Tablet,Europe,905.9608355830566,1
Phone,Asia,1088.31372413158,5
Tablet,Europe,305.67109997454213,8
Tablet,Asia,640.6209489059047,4
Laptop,Asia,915.414425436108,5
Tablet,Asia,759.3909227914014,4
Laptop,Asia,874.2291746742618,4
Tablet,Asia,679.2029626568359,8
Tablet,North America,817.31795749458,2
Laptop,Europe,768.864552921584,1
Laptop,North America,1033.5564123319614,3
Tablet,Asia,850.8841686602426,9
Phone,Europe,867.5205324150404,4
Laptop,Asia,717.6246067755065,5
Phone,Europe,702.4787551855013,2
Phone,North America,713.4883624360758,4
Phone,Europe,878.8904284756594,2
Laptop,Europe,715.8031038359475,2
Phone,Europe,857.9549713792826,4
Laptop,Europe,1215.0801597290879,6
Phone,Europe,974.2249406863384,7
Tablet,Asia,734.7952935664317,3
Tablet,Europe,1040.242784432789,3
Laptop,Europe,718.3849253956897,6
Tablet,North America,392.3750929644292,3
Tablet,Europe,598.3827378165192,2
Phone,North America,425.84161579482884,8
Laptop,Asia,729.6973031917382,5
Phone,Europe,803.6836758379103,1
Phone,North America,1135.2874624550566,3
Phone,North America,865.3854747528326,8
Phone,Asia,756.1798942382271,4
Phone,Europe,965.8811162366978,7
Phone,Europe,357.772938198423,2
Phone,North America,847.1229116217132,7
Laptop,Europe,954.1730387773933,5
Tablet,North America,504.2827508440317,5
Phone,Europe,1028.750808641386,6
Phone,North America,867.6992814988828,9
Phone,Europe,716.9424172198397,6
Phone,Asia,926.556373221257,8
Phone,Europe,1254.1385715608792,7
Phone,Europe,836.373251011699,9
Tablet,Asia,849.6441172600672,4
Tablet,Europe,708.1278200919512,2
Phone,Asia,630.0311261070417,7
Tablet,Europe,966.0671633088491,6
Laptop,North America,628.7832348182266,1
Phone,North America,814.3132474438785,9
Laptop,Europe,704.4685106469767,9
Laptop,Europe,895.7959651492783,2
Phone,Europe,866.7324210573896,3
Tablet,North America,1007.5079888515799,5
Laptop,Europe,697.9967202290507,5
Phone,North America,746.0250129413257,1
Laptop,Asia,604.2472568435385,8
Laptop,North America,711.1413479847777,8
Laptop,North America,875.4600986089704,4
Laptop,Asia,951.3977233290703,7
Tablet,North America,615.5669351644749,3
Laptop,Europe,973.921184021132,6
Laptop,Europe,1071.1275717609901,9
Laptop,North America,882.6869806447402,1
Tablet,Europe,1175.3591625116132,5
Laptop,North America,645.2421601792854,4
Laptop,Europe,551.0690593377166,8
Tablet,Europe,444.25595021914427,1
Tablet,North America,1099.2088622978367,9
Tablet,Europe,930.8731312708115,6
Laptop,North America,788.883065817909,4
Tablet,Europe,855.993725263964,9
Tablet,Europe,574.9021905403247,5
Laptop,Asia,1289.1503959233653,5
Tablet,Asia,825.8442363950455,5
Laptop,North America,821.8789589209786,1
Phone,Asia,945.1533247797383,1
Tablet,North America,896.2018463473427,8
Phone,Asia,844.7768048558263,8
Laptop,Europe,641.9051089109377,6
Tablet,North America,894.2936714271991,4
Laptop,North America,1176.4048992950068,2
Phone,Europe,1069.0840092309954,2
Laptop,North America,1118.6373253278794,9
Tablet,North America,697.756864713763,5
Tablet,Asia,602.0790359482838,4
Phone,North America,774.8426159800704,1
Laptop,Europe,811.1449824577389,7
Tablet,Asia,1018.8383036941897,3
Phone,Asia,461.5070740570361,6
Tablet,Europe,1105.9100638921227,5
Tablet,Europe,768.3984202842021,5
Laptop,Asia,714.623786010516,5
Tablet,North America,597.5791249479665,1
Laptop,Asia,469.02866562684613,1
Tablet,Europe,964.6341167923829,3
Phone,Asia,814.6635934376808,4
Tablet,Europe,542.0078200517892,5
